"caom","headerName","section","standard","kepler","hst","illustris"
"instrument_keywords","PRIMARY","metadataList","APERTURE","null","APERTURE",""
"instrument_keywords","PRIMARY","metadataList","DATE-OBS","DATE","DATE-OBS","DATE"
"instrument_keywords","PRIMARY","metadataList","EXPEND","null","EXPEND",""
"instrument_keywords","PRIMARY","metadataList","EXPSTART","null","EXPSTART",""
"instrument_keywords","PRIMARY","metadataList","EXPTIME","TIMEDEL","EXPTIME",""
"instrument_keywords","PRIMARY","metadataList","FILTER","FILTER","FILTER1","FILTER"
"instrument_keywords","PRIMARY","metadataList","null","null","FILTER2",""
"instrument_keywords","1","metadataList","null","DATE-OBS","null",""
"instrument_keywords","1","metadataList","null","DATE-END","null",""
"instrument_name","PRIMARY","metadataList","INSTRUME","null","INSTRUME","INSTR"
"project","PRIMARY","provenance","MISSION","MISSION","","SIM_NAME"
"target_name","PRIMARY","metadataList","TARGNAME","OBJECT","TARGNAME",""
"targetPosition_coordinates_cval1","PRIMARY","metadataList","RA_TARG","RA_OBJ","RA_TARG",""
"targetPosition_coordinates_cval2","PRIMARY","metadataList","DEC_TARG","DEC_OBJ","DEC_TARG",""
"targetPosition_coordsys","PRIMARY","metadataList","RADESYS","RADESYS","RADESYS",""
"targetPosition_equinox","PRIMARY","metadataList","EQUINOX","EQUINOX","EQUINOX",""
"telescope_name","PRIMARY","metadataList","TELESCOP","TELESCOP","TELESCOP","MISSION"
"type","PRIMARY","metadataList","OBSTYPE","OBSMODE","OBSTYPE",""
"version","PRIMARY","provenance","null","DATA_REL","",""